meter_id,zone_id,meter_type,flag_count,avg_score,max_score,dominant_type,first_flagged,last_flagged,avg_consumption
MTR_0048,zone_3,residential,474,0.625,0.9936,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2814
MTR_0002,zone_2,residential,410,0.6207,0.9932,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2582
MTR_0012,zone_2,residential,698,0.6228,0.9928,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.3022
MTR_0030,zone_0,residential,413,0.6183,0.9926,UNKNOWN,2024-03-16 00:45:00,2024-03-30 23:45:00,0.275
MTR_0029,zone_4,residential,429,0.6208,0.9925,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2707
MTR_0015,zone_0,residential,432,0.6055,0.9863,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2478
MTR_0028,zone_3,residential,427,0.6399,0.9843,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2599
MTR_0004,zone_4,residential,725,0.6199,0.98,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2898
MTR_0020,zone_0,residential,512,0.6186,0.9731,UNKNOWN,2024-03-16 06:00:00,2024-03-31 00:00:00,0.291
MTR_0023,zone_3,residential,473,0.6114,0.9405,UNKNOWN,2024-03-16 05:00:00,2024-03-31 00:00:00,0.3015
